sensor_060,sensor_104,sensor_511,sensor_432,sensor_431,sensor_022,sensor_029,sensor_130,sensor_211,sensor_164,sensor_125,sensor_161,sensor_317,sensor_122,sensor_126,sensor_027,sensor_248,sensor_034,sensor_181,sensor_123,result
-1.7264,-0.0042,64.6707,33.1562,18.7673,-5419.0,64.2333,-0.0473,0.0772,0.09,15.93,967.0,6.2698,15.88,0.8656,1.773,,9.5126,20.95,2.639,양품
0.8073,-0.0045,141.4365,2.2655,10.4383,-5441.5,68.4222,-0.0946,0.0566,0.112,15.88,59.0,5.6522,15.88,0.8703,2.0143,,9.7997,17.99,2.541,양품
23.8245,-0.0026,240.7767,29.1663,10.3162,-5447.75,67.1333,-0.1892,0.0339,0.187,15.95,788.0,5.7247,15.9,0.8798,2.0295,0.1729,8.659,17.78,2.882,불량
24.3791,-0.0059,113.5593,13.4051,15.7089,-5468.25,62.9333,0.2838,0.1248,0.068,15.59,355.0,5.444,15.55,1.366,2.0038,0.0191,8.6789,16.22,3.132,양품
-12.2945,-0.0045,148.0663,10.739,12.7642,-5476.25,62.8333,-0.5677,0.0915,0.147,15.71,283.0,4.8956,15.75,0.946,1.9912,,8.7677,15.24,3.148,양품
28.2955,-0.0052,68.7351,30.8083,34.4833,-6058.0,62.3778,-0.0946,0.0645,0.065,15.88,910.0,5.5901,15.88,0.8703,1.7775,0.0217,9.6484,19.7,2.541,양품
2.1109,-0.0042,159.5238,23.8878,34.4004,-6154.0,60.8,-0.4731,0.0604,0.078,15.84,643.0,4.9162,15.83,0.8089,1.7715,,9.1502,18.27,2.575,양품
29.1309,-0.0057,79.1209,13.5593,4.3184,-5395.5,67.3,0.7096,0.0701,0.161,15.8,346.0,4.8066,15.78,0.7568,1.9893,0.0643,8.7289,13.92,2.27,양품
26.9791,-0.0048,138.5827,140.8109,137.7577,-4196.5,62.8,0.7096,0.0418,0.912,15.8,2900.0,4.3824,15.78,0.7568,1.323,0.0306,9.6234,12.48,2.27,양품
28.3118,-0.0073,86.0068,30.705,16.0896,-5357.5,67.0333,0.7096,0.0923,0.076,15.8,882.0,4.9838,15.78,0.7568,1.778,0.0368,8.7289,14.9,2.27,양품
27.8373,-0.0056,87.1111,210.1429,207.3327,-2727.5,68.7111,-0.5677,0.0644,0.921,15.71,2942.0,5.2778,15.75,0.946,0.8847,0.058,8.659,16.15,3.148,불량
25.0836,-0.0059,67.9406,21.2607,38.5716,-6097.75,64.7667,-0.5677,0.137,0.072,15.86,597.0,4.6853,15.88,0.9082,1.7695,0.0458,9.6234,15.08,2.661,불량
22.6227,-0.0075,94.8247,11.6479,17.5866,-5521.25,63.3778,-0.4731,0.0613,0.082,15.84,302.0,5.2108,15.83,0.8089,2.0107,0.0317,8.6789,16.06,2.575,양품
-1.1927,-0.0047,55.0265,22.6712,39.7545,-6069.75,67.9889,0.0,0.1587,0.078,15.8,648.0,6.4674,15.77,0.8467,1.7822,,8.7977,21.3,3.038,양품
17.6382,-0.0041,125.5385,400.0,400.0,-1431.5,62.5,0.0,0.1363,0.931,15.8,2478.0,4.9515,15.77,0.8467,0.439,0.1785,9.2007,18.54,3.038,불량
20.4209,-0.0031,263.4538,239.1194,215.3447,-2694.75,61.2333,-0.0473,0.1572,0.942,15.82,3530.0,4.9296,15.85,0.8987,0.8882,0.0706,9.2007,14.57,3.263,양품
-8.1182,-0.0071,68.5315,7.4372,10.439,-5757.25,63.3556,-0.0473,0.0443,0.125,15.82,199.0,6.5511,15.85,0.8987,2.0055,,9.1283,20.32,3.263,양품
-5.5327,-0.0066,89.7338,10.1236,29.4521,-5612.5,60.2444,-0.0473,0.0545,0.032,15.82,346.0,5.8924,15.85,0.8987,1.7835,,8.5762,19.18,3.263,양품
0.4836,-0.0052,102.9126,23.3714,18.5821,-5575.25,66.2,-0.4258,0.0622,0.109,15.84,644.0,6.8608,15.87,1.045,1.9803,,8.6397,22.15,3.15,양품
22.4736,-0.0016,349.2063,14.1501,16.5653,-5469.25,65.0778,-0.4258,0.156,0.165,15.84,380.0,5.2005,15.87,1.045,2.0157,0.0283,8.6789,16.24,3.15,양품
3.97,-0.0051,87.8049,13.3098,4.172,-5441.0,67.2,-0.4258,0.0955,0.08,15.84,339.0,7.2532,15.87,1.045,1.97,,8.6572,22.23,3.15,양품
